Date,Close
6/18/2018,188.740005
6/19/2018,185.690002
6/20/2018,186.5
6/21/2018,185.460007
6/22/2018,184.919998
6/25/2018,182.169998
6/26/2018,184.429993
6/27/2018,184.160004
6/28/2018,185.5
6/29/2018,185.110001
7/2/2018,187.179993
7/3/2018,183.919998
7/5/2018,185.399994
7/6/2018,187.970001
7/9/2018,190.580002
7/10/2018,190.350006
7/11/2018,187.880005
7/12/2018,191.029999
7/13/2018,191.330002
7/16/2018,190.910004
7/17/2018,191.449997
7/18/2018,190.399994
7/19/2018,191.880005
7/20/2018,191.440002
7/23/2018,191.610001
7/24/2018,193
7/25/2018,194.820007
7/26/2018,194.210007
7/27/2018,190.979996
7/30/2018,189.910004
7/31/2018,190.289993
8/1/2018,201.5
8/2/2018,207.389999
8/3/2018,207.990005
8/6/2018,209.070007
8/7/2018,207.110001
8/8/2018,207.25
8/9/2018,208.880005
8/10/2018,207.529999
8/13/2018,208.869995
8/14/2018,209.75
8/15/2018,210.240005
8/16/2018,213.320007
8/17/2018,217.580002
8/20/2018,215.460007
8/21/2018,215.039993
8/22/2018,215.050003
8/23/2018,215.490005
8/24/2018,216.160004
8/27/2018,217.940002
8/28/2018,219.699997
8/29/2018,222.979996
8/30/2018,225.029999
8/31/2018,227.630005
9/4/2018,228.360001
9/5/2018,226.869995
9/6/2018,223.100006
9/7/2018,221.300003
9/10/2018,218.330002
9/11/2018,223.850006
9/12/2018,221.070007
9/13/2018,226.410004
9/14/2018,223.839996
9/17/2018,217.880005
9/18/2018,218.240005
9/19/2018,218.369995
9/20/2018,220.029999
9/21/2018,217.660004
9/24/2018,220.789993
9/25/2018,222.190002
9/26/2018,220.419998
9/27/2018,224.949997
9/28/2018,225.740005
10/1/2018,227.259995
10/2/2018,229.279999
10/3/2018,232.070007
10/4/2018,227.990005
10/5/2018,224.289993
10/8/2018,223.770004
10/9/2018,226.869995
10/10/2018,216.360001
10/11/2018,214.449997
10/12/2018,222.110001
10/15/2018,217.360001
10/16/2018,222.149994
10/17/2018,221.190002
10/18/2018,216.020004
10/19/2018,219.309998
10/22/2018,220.649994
10/23/2018,222.729996
10/24/2018,215.089996
10/25/2018,219.800003
10/26/2018,216.300003
10/29/2018,212.240005
10/30/2018,213.300003
10/31/2018,218.860001
11/1/2018,222.220001
11/2/2018,207.479996
11/5/2018,201.589996
11/6/2018,203.770004
11/7/2018,209.949997
11/8/2018,208.490005
11/9/2018,204.470001
11/12/2018,194.169998
11/13/2018,192.229996
11/14/2018,186.800003
11/15/2018,191.410004
11/16/2018,193.529999
11/19/2018,185.860001
11/20/2018,176.979996
11/21/2018,176.779999
11/23/2018,172.289993
11/26/2018,174.619995
11/27/2018,174.240005
11/28/2018,180.940002
11/29/2018,179.550003
11/30/2018,178.580002
